Elastic its,Damage its,Newton inner its,FP step,Newton step
1,1,7,0.09526574162248809,0.14287240496645276
1,1,7,0.08324949418862919,0.12485415548595265
1,1,7,0.07274791067546289,0.10910584409731756
1,1,7,0.0635784569086344,0.09535474374427962
1,1,7,0.055572267331191444,0.08334781996961303
1,1,7,0.048580482581584414,0.07286197177571425
1,1,7,0.04247321643835006,0.06370250858206572
1,1,7,0.037137430599835757,0.05569997401710146
1,1,7,0.03247477790096354,0.04870692009792191
1,1,7,0.028399657871261894,0.04259499839494842
1,1,6,0.024837520483446344,0.03725242268797228
1,1,6,0.021723349712896436,0.03258169444443432
1,1,6,0.01900060209572803,0.028498019976611194
1,1,6,0.016619835434820908,0.024927250611438474
1,1,6,0.01453791828518895,0.021804701047391115
1,1,6,0.012717205880089217,0.019073913278314966
1,1,6,0.011124828405789242,0.01668558979145628
Elastic its,Damage its,Newton inner its,FP step,Newton step
1,1,8,10.61999429377246,13.823923480100138
1,1,8,1.6512203805392873,2.3231644160385727
1,1,10,0.4022035046156674,0.5395703071494661
1,1,9,0.3244488809978794,0.4834891183596532
1,1,9,0.2922389151087869,0.43799895342924355
1,1,8,0.2626280291107811,0.39384459989227827
1,1,8,0.23285115972297543,0.3491872568064413
1,1,8,0.20522143642330087,0.30774958342446457
1,1,8,0.18044887866267134,0.2706046849065565
1,1,8,0.15855139761541728,0.2377736965574732
1,1,8,0.13929821822861876,0.20890721694667186
1,1,7,0.1223998341769385,0.18357012199175785
1,1,7,0.10757309881967998,0.16133789666437334
1,1,7,0.0945621552447264,0.14182723527232932
1,1,7,0.08314038360042851,0.12469873499041315
1,1,7,0.07311012010790881,0.10965632573331714
1,1,7,0.06429896584820106,0.09644174118241094
1,1,7,0.0565565414734069,0.08482965603099844
1,1,7,0.04975155800629847,0.07462331142073074
1,1,7,0.04376926786118355,0.06565070930523473
1,1,6,0.03850927754078412,0.05776134405523019
1,1,6,0.03388358893252697,0.050823283631775865
1,1,6,0.02981532835504488,0.044721255289533336
1,1,6,0.026236874409650376,0.03935385898645243
1,1,6,0.02308893216011119,0.03463217177506011
1,1,6,0.02031946858344825,0.03047815887894496
1,1,6,0.01788279754574454,0.026823301607644245
1,1,6,0.015738790601550166,0.023607414871390404
1,1,6,0.013852190296883416,0.020777618014734697
1,1,6,0.012192011186756843,0.018287436952312285
1,1,6,0.010731016455578741,0.01609601952038972
Elastic its,Damage its,Newton inner its,FP step,Newton step
1,1,8,10.840840269845623,14.127174943465503
1,1,8,1.7046168252911658,2.4064650935171326
1,1,10,0.4114606326608202,0.5578988283275643
1,1,8,0.3447878768494758,0.5139841951788736
1,1,8,0.31213428016300165,0.46786712801809943
1,1,8,0.2814544262292799,0.42207226845099177
1,1,8,0.25048645848482887,0.37562671801296643
1,1,8,0.22159682908225758,0.3323002100808838
1,1,8,0.1955820957209468,0.2932946523634087
1,1,8,0.17248964810958708,0.25867389269598756
1,1,8,0.15210282158893693,0.2281092450488629
1,1,8,0.13413845956110818,0.20117500350712372
1,1,8,0.11831595416287602,0.17745046647254034
1,1,7,0.10437883547836216,0.1565515000432291
1,1,7,0.09209903048058342,0.13813660353973137
1,1,7,0.08127684468894444,0.12190673484064084
1,1,7,0.07173609227514054,0.10759801532551792
1,1,7,0.06332289018026309,0.09497990995959436
1,1,7,0.05590228023074152,0.08385019265733026
1,1,7,0.04935582799339315,0.07403136168396326
1,1,6,0.04357952693146944,0.06536751155043545
1,1,6,0.03848187242853206,0.057721461540492215
1,1,6,0.03398271319761797,0.050973033693622556
1,1,6,0.030011227775237858,0.045016032869822566
1,1,6,0.02650515007832195,0.039757084008576866
1,1,6,0.02340965162292624,0.03511396164589309
1,1,6,0.020676430167348124,0.0310142244560419
1,1,6,0.018262916635584603,0.027394027248563095
1,1,6,0.016131582701856488,0.02419708345443893
1,1,6,0.014249334972478059,0.02137375716529473
1,1,6,0.0125869841042175,0.01888026733987323
1,1,6,0.011118779045930132,0.0166779895318528
