Iteration,Step size,Angle,Alpha,Beta,Alpha_opt,Beta_opt,Determinant,Curvature in AltMin direction
1,0.02635253091990815,2.2017406521870697,1.1405527789185868,-0.0028466906611557393,1.1405527789185868,-0.0028466906611557393,1.9956539902164654e-08,9.431049167574201e-05
2,0.0014793932781280912,0.4947483702188283,1.0640243999112375,0.003343525554102384,1.0640243999112375,0.003343525554102384,1.1448509043487543e-13,3.098637648690783e-07
3,0.0001201917331439645,2.5176578188452954,1.1247359268101282,0.0031609849923191157,1.1247359268101282,0.0031609849923191157,4.024954437919555e-18,1.4684928828501143e-09
1,0.03168689964125159,2.1429820794375174,1.167410171605277,-0.00310137971878581,1.167410171605277,-0.00310137971878581,4.092418452404291e-08,0.00012397360703175764
2,0.0020630539957282976,0.5243512636084553,1.0746657741800734,0.0036082562566485455,1.0746657741800734,0.0036082562566485455,4.657170303148459e-13,5.816197869989992e-07
3,0.00019655130592702156,2.475087610350608,1.150271526386344,0.0037020733515475447,1.150271526386344,0.0037020733515475447,2.942975684753769e-17,3.636785095295636e-09
1,0.03791032700570645,2.0855768957213137,1.1984046754851592,-0.0033688172879594116,1.1984046754851592,-0.0033688172879594116,8.03131819615543e-08,0.00015981307299739456
2,0.0028421226115712345,0.5539046146947935,1.0867988674742566,0.0038905400241858778,1.0867988674742566,0.0038905400241858778,1.7846522140962527e-12,1.062117775063598e-06
3,0.00031624604258569604,2.4351794483240177,1.1761822320853015,0.0042438642588011445,1.1761822320853015,0.0042438642588011445,1.9755140564980363e-16,8.665836048749043e-09
1,0.045200433709718366,2.0295248947733913,1.2343604609465193,-0.0036516217987488196,1.2343604609465193,-0.0036516217987488196,1.516964140322684e-07,0.0002024405830240994
2,0.0038783986068434122,0.5833666747271329,1.1003121599702852,0.00416942007682426,1.1003121599702852,0.00416942007682426,6.52091414234254e-12,1.8976025160100107e-06
3,0.0005031860042513006,2.3950862884573807,1.2075485808336794,0.004701047039882436,1.2075485808336794,0.004701047039882436,1.2402407281553802e-15,1.9993819933006307e-08
1,0.053788027360655036,1.974817896444272,1.2763485330871112,-0.003953272123354885,1.2763485330871112,-0.003953272123354885,2.770678738454032e-07,0.0002523892457588772
