Elastic its,Damage its,Newton inner its,FP step,Newton step
1,1,1.0,0.02472802616810387,0.0
1,1,1.0,0.023501611917232382,0.0
1,1,1.0,0.022498124873813224,0.0
1,1,1.0,0.021737790457852495,0.0
1,1,1.0,0.0212153240947741,0.0
1,1,1.0,0.020910320658835444,0.0
1,1,1.0,0.020795092993016996,0.0
1,1,1.0,0.020838902423836514,0.0
1,1,1.0,0.021009234662523312,0.0
1,1,1.0,0.021271362454197064,0.0
1,1,1.0,0.021587365137075307,0.0
1,1,1.0,0.02191551740968461,0.0
1,1,1.0,0.022210731405271383,0.0
1,1,1.0,0.022426523689408142,0.0
1,1,1.0,0.022518667092235854,0.0
1,1,1.0,0.022450194618309736,0.0
1,1,1.0,0.022196808853174713,0.0
1,1,1.0,0.021751255415256385,0.0
1,1,1.0,0.02112516979259534,0.0
1,1,1.0,0.0203474955354415,0.0
1,1,1.0,0.01945965146908159,0.0
1,1,1.0,0.018508720708731607,0.0
1,1,1.0,0.017540512289310906,0.0
1,1,1.0,0.01659415981252367,0.0
1,1,1.0,0.015699149434715638,0.0
1,1,1.0,0.014874757805308647,0.0
1,1,1.0,0.014131237770332239,0.0
1,1,1.0,0.013471878455893213,0.0
1,1,1.0,0.012895202849296895,0.0
1,1,1.0,0.012396855952480024,0.0
1,1,1.0,0.011971012676391016,0.0
1,1,1.0,0.011611316680451358,0.0
1,1,1.0,0.01131144467817295,0.0
1,1,1.0,0.01106540661612409,0.0
1,1,1.0,0.010867675322581934,0.0
1,1,1.0,0.01071321344518108,0.0
1,1,1.0,0.010597442332495077,0.0
1,1,1.0,0.010516180488084347,0.0
1,1,1.0,0.010465568035735751,0.0
1,1,1.0,0.010441986804507213,0.0
1,1,1.0,0.010441981718489205,0.0
1,1,1.0,0.010462187081411728,0.0
1,1,1.0,0.010499260369275369,0.0
1,1,1.0,0.010549825832727226,0.0
1,1,1.0,0.010610430267220748,0.0
1,1,1.0,0.01067751351649079,0.0
1,1,1.0,0.01074739645312875,0.0
1,1,1.0,0.010816289162356517,0.0
1,1,1.0,0.01088032168438525,0.0
1,1,1.0,0.01093559881093206,0.0
1,1,1.0,0.010978278993361144,0.0
1,1,1.0,0.011004675396880612,0.0
1,1,1.0,0.01101137464013049,0.0
1,1,1.0,0.010995366050688841,0.0
1,1,1.0,0.010954171745267641,0.0
1,1,1.0,0.01088596600753462,0.0
1,1,1.0,0.010789671791436903,0.0
1,1,1.0,0.010665023107867298,0.0
1,1,1.0,0.010512584690428765,0.0
1,1,1.0,0.010333724473191239,0.0
1,1,1.0,0.010130539491053005,0.0
1,1,1.0,0.009905741016834172,0.0
1,1,1.0,0.009662509187836649,0.0
1,1,1.0,0.00940433029719435,0.0
1,1,1.0,0.009134830902492065,0.0
1,1,1.0,0.008857621917937467,0.0
1,1,1.0,0.008576163272987235,0.0
1,1,1.0,0.008293656163442598,0.0
1,1,1.0,0.0080129660956828,0.0
1,1,1.0,0.007736576451511147,0.0
1,1,1.0,0.007466569604455985,0.0
1,1,1.0,0.007204630888363902,0.0
1,1,1.0,0.0069520699365714375,0.0
1,1,1.0,0.006709853910984327,0.0
1,1,1.0,0.006478647691650461,0.0
1,1,1.0,0.006258856959992528,0.0
1,1,1.0,0.0060506710810604835,0.0
1,1,1.0,0.00585410362652055,0.0
1,1,1.0,0.005669029193114145,0.0
1,1,1.0,0.005495215821776401,0.0
1,1,1.0,0.005332352805986598,0.0
1,1,1.0,0.005180074010618658,0.0
1,1,1.0,0.005037977031125802,0.0
1,1,1.0,0.004905638636229625,0.0
1,1,1.0,0.0047826269821969756,0.0
1,1,1.0,0.0046685110857547845,0.0
1,1,1.0,0.004562868013227346,0.0
1,1,1.0,0.004465288198468952,0.0
1,1,1.0,0.004375379250524632,0.0
1,1,1.0,0.004292768559513306,0.0
1,1,1.0,0.004217104959569453,0.0
1,1,1.0,0.004148059662639136,0.0
1,1,1.0,0.004085326637443751,0.0
1,1,1.0,0.004028622574002071,0.0
1,1,1.0,0.003977686545575627,0.0
1,1,1.0,0.0039322794561829685,0.0
1,1,1.0,0.003892183342376503,0.0
1,1,1.0,0.0038572005821499674,0.0
1,1,1.0,0.003827153051076982,0.0
1,1,1.0,0.0038018812555474335,0.0
1,1,1.0,0.0037812434648041545,0.0
1,1,1.0,0.0037651148569772144,0.0
1,1,1.0,0.003753386689168599,0.0
